# board: GT-I5500B
# brand: Samsung
# cpu_abi: armeabi
# device: GT-I5500B
# display: ERE27
# fingerprint: Samsung/GT-I5500B/GT-I5500B/GT-I5500B:2.1-update1/ERE27/BVJJG1:user/release-keys
# host: sep-13
# id: ERE27
# manufacturer: samsung
# model: GT-I5500B
# product: GT-I5500B
# tags: test-keys
# time: 1279113827000
# type: user
# user: hojoong
2	16	17.0	100	373	0.07238605898123325	0.0	0.44	0.36281179138321995	0.5959595959595959
2	32	123.0	100	1447	0.13199723565998617	0.01	1.24	0.7256235827664399	1.595959595959596
2	64	346.0	100	1046	0.3365200764818356	0.13	3.09	1.4512471655328798	3.8282828282828283
2	128	1286.0	100	1409	0.9339957416607523	0.0	11.81	2.9024943310657596	13.05050505050505
2	256	5085.0	100	3598	0.9471928849360756	30.14	18.3	5.804988662131519	51.58585858585859
2	512	6510.0	100	1799	1.8699277376320178	30.13	32.2	11.609977324263038	65.48484848484848
2	1024	9814.0	100	900	4.017777777777778	30.06	62.26	23.219954648526077	98.56565656565657
2	2048	16520.0	100	450	8.417777777777777	30.16	124.8	46.439909297052154	164.62626262626262
2	4096	31412.0	100	225	17.84888888888889	32.08	263.19	92.87981859410431	313.8888888888889
2	8192	63543.0	100	113	38.24778761061947	32.15	562.93	185.75963718820861	634.1111111111111
